   tau1     tau2   tau3   tau4  tau5   tau6   t1
3.582500000000009011e-01  -6.152499999999977431e-01  1.033749999999999947e+00  -9.600000000000233347e-02  -7.499999999999998335e-02  2.771249999999995661e-01  5.306896924972534180e+00
2.737499999999996603e-01  -6.498750000000010907e-01  9.891249999999934817e-01  -1.559999999999998888e-01  4.026249999999999551e-01  2.563749999999996310e-01  5.338876008987426758e+00
2.866249999999986864e-01  -4.559999999999980735e-01  8.332500000000075957e-01  -6.924999999999986722e-02  -2.243749999999999634e-01  2.211249999999991001e-01  5.373419046401977539e+00
2.819999999999975304e-01  -6.411249999999992788e-01  1.009250000000003089e+00  -1.182500000000002993e-01  3.058750000000000635e-01  2.803749999999993747e-01  5.411499977111816406e+00
3.016249999999998099e-01  -6.374999999999991784e-01  9.699999999999986411e-01  -1.032499999999991758e-01  -4.461249999999999938e-01  2.850000000000005307e-01  5.444936037063598633e+00
3.284999999999989040e-01  -6.776250000000011431e-01  9.936249999999979821e-01  -1.287499999999899836e-02  5.262500000000001898e-02  2.367500000000008487e-01  5.477957963943481445e+00
3.222499999999995923e-01  -6.578750000000022080e-01  1.106374999999999664e+00  -1.611249999999997962e-01  -3.913750000000000284e-01  2.788749999999978746e-01  5.516217947006225586e+00
3.953749999999998654e-01  -7.402499999999978542e-01  1.082249999999999934e+00  -1.967499999999990090e-01  3.202499999999999791e-01  3.616250000000008069e-01  5.550591945648193359e+00
3.032500000000014073e-01  -7.593749999999995781e-01  1.143999999999999240e+00  -2.451250000000005369e-01  2.321249999999999980e-01  2.881250000000001865e-01  5.584038019180297852e+00
3.299999999999986833e-01  -7.693750000000026956e-01  9.836249999999948646e-01  -2.638750000000001927e-01  -3.757500000000000284e-01  2.891249999999994658e-01  5.630918025970458984e+00
3.137499999999998068e-01  -6.996250000000022728e-01  9.656249999999977351e-01  -1.963750000000003548e-01  5.461250000000000826e-01  3.357499999999992157e-01  5.666065931320190430e+00
2.923749999999992188e-01  -6.827500000000027436e-01  8.708750000000000657e-01  -2.482500000000001927e-01  -6.250000000000015959e-03  2.851250000000006279e-01  5.701416969299316406e+00
2.595000000000010631e-01  -6.458750000000006430e-01  7.732500000000031015e-01  -1.608749999999995461e-01  3.018750000000000044e-01  2.281249999999991618e-01  5.735372066497802734e+00
-2.875000000001140532e-03  -9.999999999999592548e-03  -8.737499999999717715e-02  1.112499999999898292e-02  4.677499999999999436e-01  2.499999999999030775e-03  5.773721933364868164e+00
0.000000000000000000e+00  3.749999999999955626e-04  7.500000000000019672e-03  4.887500000000000178e-01  -2.077499999999999902e-01  -2.302499999999999825e-01  6.593098878860473633e+00
-2.199999999999999872e-02  -1.587500000000000022e-02  -3.975000000000000061e-02  3.073750000000000093e-01  5.462500000000000133e-01  -2.318749999999999978e-01  6.668596982955932617e+00
2.382374999999999243e+00  -3.669125000000001968e+00  4.090625000000000178e+00  2.338750000000000551e+00  6.608000000000002316e+00  -3.005999999999999783e+00  6.757531881332397461e+00
-4.802624999999999034e+00  -2.981999999999998430e+00  3.172874999999998558e+00  1.834624999999999506e+00  -3.300749999999998074e+00  -1.645500000000001073e+00  6.834317922592163086e+00
-3.746374999999999567e+00  -1.676874999999994342e+00  1.761625000000002661e+00  7.245000000000029194e-01  -6.130250000000000199e+00  -5.071249999999971614e-01  6.890542984008789062e+00
-2.797999999999994714e+00  -1.095125000000002347e+00  1.132624999999998217e+00  6.499999999999561684e-03  -4.268250000000000988e+00  -3.836249999999985505e-01  6.941297054290771484e+00
-3.521999999999997133e+00  -9.424999999999988942e-01  9.492499999999987059e-01  6.833749999999999547e-01  -2.285499999999995868e+00  -5.157499999999953788e-01  7.018620014190673828e+00
