tif_tot   t1   iter_no
9.619964977523423055e-01  1.962738013267517090e+01  2.880000000000000000e+02
9.532002591564769922e-01  1.968322396278381348e+01  2.890000000000000000e+02
9.168948939861422121e-01  1.977056598663330078e+01  2.900000000000000000e+02
8.817249475112423074e-01  1.986144804954528809e+01  2.910000000000000000e+02
8.574888107123974645e-01  1.990961909294128418e+01  2.920000000000000000e+02
8.375291205084536283e-01  1.994408202171325684e+01  2.930000000000000000e+02
8.138012844008953861e-01  2.000080609321594238e+01  2.940000000000000000e+02
7.905010593727552770e-01  2.004722595214843750e+01  2.950000000000000000e+02
7.703900633175166934e-01  2.008977699279785156e+01  2.960000000000000000e+02
7.518306575879899478e-01  2.012809300422668457e+01  2.970000000000000000e+02
7.333312835995589030e-01  2.016650295257568359e+01  2.980000000000000000e+02
7.147184952911578293e-01  2.020813202857971191e+01  2.990000000000000000e+02
6.976453125356012475e-01  2.025933194160461426e+01  3.000000000000000000e+02
6.825138104891323998e-01  2.030009603500366211e+01  3.010000000000000000e+02
6.674965861460424588e-01  2.034074997901916504e+01  3.020000000000000000e+02
6.505161860033847887e-01  2.038194894790649414e+01  3.030000000000000000e+02
6.353389077088062997e-01  2.042147493362426758e+01  3.040000000000000000e+02
6.182793028043654937e-01  2.045924711227416992e+01  3.050000000000000000e+02
6.033846254705467205e-01  2.049309301376342773e+01  3.060000000000000000e+02
5.875972764766490553e-01  2.053023099899291992e+01  3.070000000000000000e+02
5.725493813999901205e-01  2.056805300712585449e+01  3.080000000000000000e+02
5.586488874174979635e-01  2.060219502449035645e+01  3.090000000000000000e+02
5.448773726913866966e-01  2.064280700683593750e+01  3.100000000000000000e+02
5.298861705723293403e-01  2.068670892715454102e+01  3.110000000000000000e+02
5.167834662365408116e-01  2.072388100624084473e+01  3.120000000000000000e+02
5.049696907818365110e-01  2.075510907173156738e+01  3.130000000000000000e+02
4.910297416838348972e-01  2.079150509834289551e+01  3.140000000000000000e+02
1.226657181105254457e+00  2.160775709152221680e+01  3.150000000000000000e+02
1.294771482244711169e+00  2.169322299957275391e+01  3.160000000000000000e+02
1.283638985882132655e+00  2.176752710342407227e+01  3.170000000000000000e+02
1.275541735320419923e+00  2.183412694931030273e+01  3.180000000000000000e+02
1.266466794126118733e+00  2.189041495323181152e+01  3.190000000000000000e+02
1.258968136108327140e+00  2.193792104721069336e+01  3.200000000000000000e+02
1.252438831002852915e+00  2.199154305458068848e+01  3.210000000000000000e+02
1.246985733465814095e+00  2.203913998603820801e+01  3.220000000000000000e+02
1.242022731468549246e+00  2.208960103988647461e+01  3.230000000000000000e+02
1.237702081470384075e+00  2.214382600784301758e+01  3.240000000000000000e+02
1.234374470784813660e+00  2.219210910797119141e+01  3.250000000000000000e+02
1.232240263956112525e+00  2.225708413124084473e+01  3.260000000000000000e+02
1.231133505344359946e+00  2.231361103057861328e+01  3.270000000000000000e+02
1.209335636643589673e+00  2.236587309837341309e+01  3.280000000000000000e+02
1.124180853043751593e+00  2.245669293403625488e+01  3.290000000000000000e+02
1.074983552486671101e+00  2.252324795722961426e+01  3.300000000000000000e+02
1.036449444637282280e+00  2.257372307777404785e+01  3.310000000000000000e+02
1.009475720808990395e+00  2.263548398017883301e+01  3.320000000000000000e+02
