  a1     a2    a3    a4   a5    a6   t1
-1.988750000000011342e-01  1.894999999999952278e-01  -3.628749999999986153e-01  -5.862499999999964961e-02  -2.662499999999999867e-01  -2.588749999999986895e-01  3.368808031082153320e+00
-1.812500000000008549e-01  2.577500000000010338e-01  -3.487500000000018363e-01  9.787499999999986489e-02  4.046250000000000124e-01  -2.766250000000025633e-01  3.404721021652221680e+00
-3.088750000000001217e-01  3.621250000000048042e-01  -5.396249999999949143e-01  -3.074999999999952771e-02  -2.311250000000000249e-01  -3.567500000000028981e-01  3.436142921447753906e+00
-3.256249999999994982e-01  3.707499999999960827e-01  -5.666249999999941611e-01  1.874999999999966971e-02  5.651249999999999885e-01  -3.389999999999990243e-01  3.471570014953613281e+00
-3.824999999999973976e-01  6.022499999999986198e-01  -7.087500000000009903e-01  6.325000000000080558e-02  -4.322500000000000231e-01  -4.319999999999983298e-01  3.503336906433105469e+00
-4.882499999999990736e-01  5.731250000000006617e-01  -7.565000000000001723e-01  9.812500000000011491e-02  2.202500000000000013e-01  -4.618750000000004796e-01  3.533355951309204102e+00
-1.014250000000001206e+00  1.395000000000000462e+00  -1.668250000000003119e+00  2.611250000000000515e-01  3.154999999999999472e-01  -1.045625000000001359e+00  3.567916870117187500e+00
-4.541249999999996678e-01  6.180000000000004379e-01  -7.797500000000026077e-01  2.048750000000001958e-01  -3.473750000000000449e-01  -4.720000000000001972e-01  3.606150865554809570e+00
-4.019999999999995799e-01  5.977500000000010028e-01  -8.550000000000015365e-01  5.475000000000011108e-02  -2.172499999999999987e-01  -4.511250000000001092e-01  3.636439085006713867e+00
-4.022499999999998299e-01  5.318749999999976552e-01  -7.242500000000026139e-01  7.762499999999956934e-02  4.388750000000000151e-01  -4.404999999999998916e-01  3.664998054504394531e+00
-3.994999999999970797e-01  5.070000000000004503e-01  -7.651250000000019424e-01  8.262500000000022604e-02  -4.074999999999998762e-02  -4.428749999999987974e-01  3.700615882873535156e+00
5.749999999999990362e-03  -3.274999999999999439e-02  2.250000000000000264e-03  5.463749999999999440e-01  -1.666249999999999953e-01  5.646250000000000435e-01  4.518148899078369141e+00
1.912499999999999617e-02  2.262500000000000622e-02  2.200000000000000566e-02  -2.878749999999999920e-01  9.624999999999998834e-02  4.687500000000000000e-01  4.560229063034057617e+00
-9.249999999999994338e-03  -6.625000000000011956e-03  -5.550000000000000766e-02  2.173749999999999849e-01  4.982499999999999707e-01  -2.093749999999999778e-01  4.589075088500976562e+00
-6.052499999999998437e-01  1.259999999999999787e+00  -1.629124999999999934e+00  2.013750000000000540e-01  2.989999999999999880e-01  -2.491250000000002074e-01  4.620110988616943359e+00
-1.005874999999999853e+00  1.907499999999999529e+00  -2.583125000000000338e+00  6.700000000000021216e-02  -3.079999999999999405e-01  -1.315749999999999975e+00  4.650276899337768555e+00
-1.129875000000000629e+00  2.012500000000000178e+00  -2.712749999999999773e+00  8.459999999999995302e-01  -5.362500000000000044e-01  -1.042000000000001148e+00  4.690823078155517578e+00
-9.782499999999999529e-01  1.879624999999999213e+00  -2.531749999999999279e+00  5.376249999999999085e-01  -2.625000000000023148e-03  -9.294999999999979945e-01  4.729690074920654297e+00
-8.552500000000018421e-01  1.709124999999998895e+00  -2.320000000000002505e+00  5.513749999999997264e-01  -5.166249999999998899e-01  -8.592499999999988480e-01  4.762809038162231445e+00
-6.546250000000024549e-01  1.394624999999996451e+00  -2.076374999999998305e+00  4.152499999999989533e-01  -1.432500000000000440e-01  -5.858749999999995905e-01  4.799424886703491211e+00
-6.026249999999989670e-01  1.387124999999995945e+00  -1.886125000000002272e+00  3.557500000000001772e-01  3.746250000000000413e-01  -5.434999999999988729e-01  4.828665971755981445e+00
-4.566249999999986708e-01  1.063999999999995394e+00  -1.690374999999993966e+00  2.249999999999995060e-01  1.172499999999999515e-01  -3.973750000000018656e-01  4.859960079193115234e+00
-3.323749999999993099e-01  9.717499999999934523e-01  -1.454250000000004039e+00  2.078749999999997267e-01  -4.258750000000000036e-01  -3.464999999999995861e-01  4.895977020263671875e+00
-3.045000000000026574e-01  7.985000000000005427e-01  -1.209749999999995440e+00  2.153750000000002884e-01  -6.999999999999844888e-03  -2.227499999999972558e-01  4.927016973495483398e+00
-2.053750000000006959e-01  6.991250000000087672e-01  -1.043249999999995570e+00  1.128750000000018627e-01  -6.071249999999999147e-01  -2.147499999999996634e-01  4.956001043319702148e+00
-1.705000000000039817e-01  4.957500000000031326e-01  -6.587499999999996136e-01  1.087500000000012068e-01  -3.922499999999999876e-01  -1.206250000000026745e-01  4.987334966659545898e+00
-1.013750000000007701e-01  3.962500000000007683e-01  -3.623749999999981153e-01  1.012500000000006450e-01  5.507499999999999618e-01  -1.073749999999998317e-01  5.014609098434448242e+00
2.049999999999968514e-02  1.157499999999977991e-01  -1.410000000000022347e-01  9.862500000000148925e-02  -1.146250000000000047e-01  -3.037500000000262212e-02  5.050472974777221680e+00
7.937499999999958478e-02  1.361250000000008287e-01  5.299999999999749356e-02  1.352499999999999536e-01  -7.937499999999995948e-02  8.499999999998092415e-03  5.088881969451904297e+00
4.100000000000630918e-02  6.237499999998952216e-02  -1.929999999999987281e-01  -9.299999999999933320e-02  -5.959999999999999742e-01  6.037500000000139977e-02  5.119616031646728516e+00
8.350000000000024070e-02  1.393749999999971401e-01  1.562499999999134026e-02  -1.087500000000046763e-02  1.351249999999999396e-01  1.197499999999983300e-01  5.149456024169921875e+00
1.913750000000005724e-01  -6.437499999999152234e-02  2.622500000000055342e-01  8.687500000000014655e-02  -4.767500000000000071e-01  1.684999999999985121e-01  5.181427955627441406e+00
2.972499999999989040e-01  -2.327499999999899094e-01  5.728750000000004672e-01  -8.749999999974056308e-04  5.994999999999999218e-01  1.833749999999995106e-01  5.209970951080322266e+00
2.333750000000009428e-01  -4.361249999999955440e-01  7.878750000000073195e-01  -1.297500000000013920e-01  -1.262500000000000011e-01  2.082500000000001017e-01  5.248416900634765625e+00
3.531249999999992450e-01  -5.826250000000032792e-01  9.526249999999986118e-01  -1.661249999999996063e-01  4.843750000000000555e-01  2.492499999999994720e-01  5.283235073089599609e+00
3.621249999999978653e-01  -5.681250000000026557e-01  9.456249999999916112e-01  -1.082500000000007068e-01  2.841249999999999609e-01  2.753750000000013132e-01  5.319998979568481445e+00
2.397500000000003795e-01  -5.812500000000053735e-01  8.637499999999964650e-01  -1.754999999999985738e-01  -5.766250000000000542e-01  2.676250000000005014e-01  5.353950023651123047e+00
3.221249999999994951e-01  -6.821249999999986491e-01  1.183749999999997193e+00  -1.573749999999977944e-01  -1.157499999999999640e-01  3.286250000000024984e-01  5.391609907150268555e+00
3.453750000000019305e-01  -7.315000000000029257e-01  1.167999999999988381e+00  -1.603749999999973253e-01  5.484999999999998765e-01  3.432499999999997775e-01  5.419697046279907227e+00
3.302500000000006541e-01  -5.452499999999971259e-01  1.064250000000002583e+00  -1.419999999999997653e-01  3.436249999999999583e-01  2.957499999999974039e-01  5.453665971755981445e+00
3.311249999999980598e-01  -7.486249999999957661e-01  9.576249999999966178e-01  -2.332500000000008178e-01  4.281249999999999778e-01  3.391249999999991216e-01  5.489646911621093750e+00
3.466249999999996834e-01  -6.256249999999976552e-01  1.039749999999999064e+00  -2.212499999999992251e-01  -4.603749999999999787e-01  2.466250000000003162e-01  5.517988920211791992e+00
3.224999999999998423e-01  -8.030000000000050431e-01  1.058124999999999982e+00  -1.941250000000015741e-01  -1.212499999999999967e-01  2.711249999999970628e-01  5.558352947235107422e+00
2.561250000000011573e-01  -6.894999999999956719e-01  9.899999999999977707e-01  -1.790000000000003255e-01  -1.146249999999999769e-01  2.516250000000000986e-01  5.602483034133911133e+00
3.230000000000003424e-01  -7.610000000000046727e-01  9.196250000000002478e-01  -2.548749999999999072e-01  -2.086250000000000326e-01  2.854999999999993099e-01  5.631342887878417969e+00
2.997499999999996834e-01  -7.209999999999994191e-01  8.946249999999961178e-01  -1.887499999999996680e-01  5.198750000000000870e-01  2.662500000000008749e-01  5.668870925903320312e+00
2.210000000000006959e-01  -6.756249999999991429e-01  8.497499999999963416e-01  -2.261250000000006311e-01  -9.387499999999998623e-02  3.007499999999989071e-01  5.704247951507568359e+00
2.557500000000007545e-01  -6.257500000000012497e-01  8.021249999999973124e-01  -2.706250000000000044e-01  1.570000000000000284e-01  2.862500000000000600e-01  5.751681089401245117e+00
